0x09,ALPHA_FUNC,,,7 10,func ref,,2 0 NEVER 1 LESS 2 LEQUAL 3 GREATER 4 GEQUAL 5 EQUAL 6 NOTEQUAL 7 ALWAYS
0x05,BITMAP_HANDLE,,,4,handle,,
0x07,BITMAP_LAYOUT,,,8 18 23,format linestride height,3 0 ARGB1555 1 L1 2 L4 3 L8 4 RGB332 5 ARGB2 6 ARGB4 7 RGB565 9 TEXT8X8 10 TEXTVGA 11 BARGRAPH 14 PALETTED565 15 PALETTED4444 16 PALETTED8 17 L2 31 GLFORMAT,3 0 ARGB1555 1 L1 2 L4 3 L8 4 RGB332 5 ARGB2 6 ARGB4 7 RGB565 9 TEXT8X8 10 TEXTVGA 11 BARGRAPH 14 PALETTED565 15 PALETTED4444 16 PALETTED8 17 L2
0x08,BITMAP_SIZE,,,8 17 18 19 20,filter wrapx wrapy width height,,3 0 BORDER 1 REPEAT|4 0 BORDER 1 REPEAT|5 0 NEAREST 1 BILINEAR
0x01,BITMAP_SOURCE,21,addr,23,addr,,
0x15,BITMAP_TRANSFORM_A,16,a,16 17,precision value,,
0x16,BITMAP_TRANSFORM_B,16,b,16 17,precision value,,
0x17,BITMAP_TRANSFORM_C,23,c,23,value,,
0x18,BITMAP_TRANSFORM_D,16,d,16 17,precision value,,
0x19,BITMAP_TRANSFORM_E,16,e,16 17,precision value,,
0x1A,BITMAP_TRANSFORM_F,23,f,23,value,,
0x0B,BLEND_FUNC,,,2 5,source dest,,1 0 ZERO 1 ONE 2 SRC_ALPHA 3 DST_ALPHA 4 ONE_MINUS_SRC_ALPHA 5 ONE_MINUS_DST_ALPHA|2 0 ZERO 1 ONE 2 SRC_ALPHA 3 DST_ALPHA 4 ONE_MINUS_SRC_ALPHA 5 ONE_MINUS_DST_ALPHA
0x06,CELL,,,6,cell,,
0x26,CLEAR,,,0 1 2,color stencil tag,,
0x0F,CLEAR_COLOR_A,,,7,alpha,,
0x02,CLEAR_COLOR_RGB,,,7 15 23,red green blue,,
0x11,CLEAR_STENCIL,,,7,value,,
0x12,CLEAR_TAG,,,7,value,,
0x10,COLOR_A,,,7,alpha,,
0x20,COLOR_MASK,,,0 1 2 3,red green blue alpha,,
0x04,COLOR_RGB,,,7 15 23,red blue green,,
0x0E,LINE_WIDTH,,,10,width,,
0x0D,POINT_SIZE,,,16,size,,
0x23,RESTORE_CONTEXT,,,0,-,,
0x22,SAVE_CONTEXT,,,0,-,,
0x1C,SCISSOR_SIZE,,,11 23,width height,,
0x1B,SCISSOR_XY,,,10 21,x y,,
0x0A,STENCIL_FUNC,,,7 15 19,func ref mask,,
0x13,STENCIL_MASK,,,7,mask,,
0x0C,STENCIL_OP,,,2 5,sfail spass,,1 0 ZERO 1 KEEP 2 REPLACE 3 INCR 4 DECR 5 INVERT|2 0 ZERO 1 KEEP 2 REPLACE 3 INCR 4 DECR 5 INVERT
0x03,TAG,,,7,value,,
0x14,TAG_MASK,,,1,mask,,
0x1F,BEGIN,,,3,primitive,,1 1 BITMAPS 2 POINTS 3 LINES 4 LINE_STRIP 5 EDGE_STRIP_R 6 EDGE_STRIP_L 7 EDGE_STRIP_A 8 EDGE_STRIP_B 9 RECTS
0x21,END,,,0,-,,
0xFE,VERTEX2F,,,14 29,x y,,
0xFF,VERTEX2II,,,6 11 20 29,x y handle cell,,
0x1E,JUMP,,,15,dest,,
0x25,MACRO,,,0,-,,
0x1D,CALL,,,15,dest,,
0x24,RETURN,,,0,-,,
0x0,DISPLAY,,,0,-,,
0x2D,NOP,,,0,-,,
0x28,BITMAP_LAYOUT_H,,,1 3,linestride height,,
0x29,BITMAP_SIZE_H,,,1 3,width height,,
0x27,VERTEX_FORMAT,,,2,fraction,,
0x2B,VERTEX_TRANSLATE_X,,,16,x,,
0x2C,VERTEX_TRANSLATE_Y,,,16,y,,
0x2A,PALETTE_SOURCE,,,21,addr,,
0x2E,BITMAP_EXT_FORMAT,-1,,15,format,,1 0 ARGB1555 1 L1 17 L2 2 L4 3 L8 4 RGB332 5 ARGB2 6 ARGB4 7 RGB565 14 PALETTED565 15 PALETTED4444 16 PALETTED8 9 TEXT8X8 10 TEXTVGA 11 BARGRAPH 37808 COMPRESSED_RGBA_ASTC_4x4_KHR 37809 COMPRESSED_RGBA_ASTC_5x4_KHR 37810 COMPRESSED_RGBA_ASTC_5x5_KHR 37811 COMPRESSED_RGBA_ASTC_6x5_KHR 37812 COMPRESSED_RGBA_ASTC_6x6_KHR 37813 COMPRESSED_RGBA_ASTC_8x5_KHR 37814 COMPRESSED_RGBA_ASTC_8x6_KHR 37815 COMPRESSED_RGBA_ASTC_8x8_KHR 37816 COMPRESSED_RGBA_ASTC_10x5_KHR 37817 COMPRESSED_RGBA_ASTC_10x6_KHR 37818 COMPRESSED_RGBA_ASTC_10x8_KHR 37819 COMPRESSED_RGBA_ASTC_10x10_KHR 37820 COMPRESSED_RGBA_ASTC_12x10_KHR 37821 COMPRESSED_RGBA_ASTC_12x12_KHR
0x2F,BITMAP_SWIZZLE,-1,,2 5 8 11,red green blue alpha,,1 0 ZERO 1 ONE 2 RED 3 GREEN 4 BLUE 5 ALPHA|2 0 ZERO 1 ONE 2 RED 3 GREEN 4 BLUE 5 ALPHA|3 0 ZERO 1 ONE 2 RED 3 GREEN 4 BLUE 5 ALPHA|4 0 ZERO 1 ONE 2 RED 3 GREEN 4 BLUE 5 ALPHA 
0x34,REGION,-1,,11 17 23,y h dest,,
0x33,BITMAP_ZORDER,-1,,7,code,,
0x31,BITMAP_SOURCEH,-1,,7,addr,,
0x32,PALETTE_SOURCEH,-1,,7,addr,,
0x35,SYS_PSEDUO_BASE,-1,,10,p,,
0x30,INT_PALDAT,-1,,0,-,,
